ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,buy_score,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct
4021.T,日産化学,Nikkei225,6368.0,6414.52,-0.725,-10.845,-16.576,12.079,17.81,5718.8,5351.2,11.35,MILD DIP,6511,5.731,345.0,220.0,384.16,43,7333.3,5500.0,4400.0,3666.7
7013.T,IHI,Nikkei225,3835.0,4032.4,-4.895,-14.654,-22.371,16.211,23.927,3441.5,3130.3,11.43,MILD DIP,6511,7.716,52.0,20.0,57.95,40,666.7,500.0,400.0,333.3
4543.T,テルモ,Nikkei225,2043.0,2021.56,1.061,-9.355,-14.244,10.199,15.087,1832.4,1733.6,11.49,NEUTRAL,6511,4.888,147.0,30.0,163.89,47,1000.0,750.0,600.0,500.0
4523.T,エーザイ,Nikkei225,4850.0,4879.56,-0.606,-10.879,-16.492,11.573,17.186,4348.7,4074.8,11.53,MILD DIP,6511,5.613,330.0,160.0,368.04,43,5333.3,4000.0,3200.0,2666.7
WDAY,Workday,NASDAQ100,142.49,145.29,-1.93,-12.214,-18.557,13.161,19.505,127.5,118.3,11.71,MILD DIP,3345,6.344,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0
TEAM,Atlassian,NASDAQ100,78.01,83.6,-6.689,-16.542,-25.148,17.884,26.491,69.8,62.6,11.81,MILD DIP,2552,8.606,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0
MSFT,Microsoft,Dow30,405.76,401.91,0.959,-9.73,-15.157,11.978,17.405,362.8,341.0,11.84,NEUTRAL,10051,5.427,89.0,3.64,99.54,43,121.3,91.0,72.8,60.7
7911.T,凸版印刷(注:代替),Nikkei225,5056.0,4981.48,1.496,-9.317,-14.12,9.895,14.698,4517.3,4278.1,11.92,NEUTRAL,6511,4.803,111.0,56.0,124.24,47,1866.7,1400.0,1120.0,933.3
5214.T,日本電気硝子,Nikkei225,6283.0,6434.92,-2.361,-12.77,-19.325,13.45,20.005,5613.2,5191.4,11.93,MILD DIP,6252,6.555,255.0,160.0,285.43,43,5333.3,4000.0,3200.0,2666.7
4716.T,日本オラクル(注:代替),Nikkei225,9492.0,9545.12,-0.557,-11.204,-16.843,11.353,16.992,8475.7,7937.5,11.99,MILD DIP,6249,5.639,200.0,190.0,223.98,43,6333.3,4750.0,3800.0,3166.7
