ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
ECL,Ecolab,配当貴族,264.25,282.69,-6.522,-8.33,-12.755,9.373,13.798,259.1,246.6,1.97,MILD DIP,13363,4.426,1.29,3.41,1.32,30,30,307.5,14.1,False,False,False,False,False,11.26,False,17.8,0.0,—,素材,Specialty Chemicals,—,0,113.7,85.2,68.2,56.8,False
GOOG,Alphabet C,NASDAQ100,280.74,303.54,-7.512,-9.348,-14.578,11.57,16.799,275.2,259.3,2.03,MILD DIP,5411,5.229,0.3,0.85,0.31,1,35,344.7,18.5,False,False,False,False,False,8.17,False,18.0,31.1,増収増益,通信,Internet Content & Information,—,0,28.3,21.2,17.0,14.2,False
6273.T,SMC,Nikkei225,62720.0,68611.6,-8.587,-10.438,-15.854,11.226,16.642,61449.8,57733.8,2.07,MILD DIP,6264,5.416,1.6,1005.5,1.64,0,32,88444.1,29.1,False,False,False,False,False,1.94,False,7.3,1.6,微増,資本財,Specialty Industrial Machinery,—,0,33516.7,25137.5,20110.0,16758.3,False
IP,International Paper,SP500高配当,36.15,39.42,-8.294,-10.227,-15.518,10.934,16.225,35.4,33.3,2.15,MILD DIP,16142,5.29,5.15,1.86,5.26,0,47,57.2,36.8,False,False,False,False,False,1.29,False,53.1,0.0,—,一般消費財,Packaging & Containers,—,0,62.0,46.5,37.2,31.0,False
NKE,Nike,Dow30,52.07,57.22,-9.002,-11.036,-16.922,12.51,18.396,50.9,47.5,2.29,MILD DIP,11397,5.886,3.15,1.64,3.22,24,45,165.2,68.5,True,False,False,False,False,5.47,False,0.6,-32.1,減益,一般消費財,Footwear & Accessories,半値,1,54.7,41.0,32.8,27.3,False
BDX,Becton Dickinson,配当貴族,157.38,166.49,-5.47,-7.773,-11.911,8.781,12.92,153.5,146.7,2.5,MILD DIP,13363,4.138,2.75,4.33,2.82,51,32,211.6,25.6,False,False,False,False,False,1.77,False,1.6,28.6,微増,ヘルスケア,Medical Instruments & Supplies,—,0,144.3,108.2,86.6,72.1,False
5233.T,太平洋セメント,Nikkei225,3550.0,3964.16,-10.448,-12.719,-19.227,13.315,19.824,3460.0,3202.0,2.6,MILD DIP,6523,6.508,2.82,100.1,2.89,2,40,4823.0,26.4,False,False,False,False,False,0.62,True,0.0,0.0,—,素材,Building Materials,PBR1倍割れ,1,3336.7,2502.5,2002.0,1668.3,False
6954.T,ファナック,Nikkei225,5728.0,6252.12,-8.383,-10.823,-16.402,11.489,17.067,5575.4,5226.7,2.74,MILD DIP,6523,5.578,1.82,104.5,1.87,1,35,7113.0,19.5,False,False,False,False,False,2.98,False,9.5,12.7,増収増益,資本財,Specialty Industrial Machinery,—,0,3483.3,2612.5,2090.0,1741.7,False
SWK,Stanley Black & Decker,配当貴族,70.81,76.53,-7.476,-9.94,-15.142,10.866,16.067,68.9,64.9,2.74,MILD DIP,11577,5.201,4.72,3.34,4.85,56,52,185.8,61.9,True,False,False,False,False,1.21,False,-1.0,-19.3,減益,資本財,Tools & Accessories,半値,1,111.3,83.5,66.8,55.7,False
MSFT,Microsoft,Dow30,365.97,394.61,-7.259,-9.733,-15.16,11.972,17.398,356.2,334.8,2.74,MILD DIP,10063,5.426,0.98,3.6,1.01,20,40,539.8,32.2,False,False,False,False,False,6.96,False,16.7,59.8,増収増益,テクノロジー,Software - Infrastructure,—,0,120.0,90.0,72.0,60.0,False
BRO,Brown & Brown,配当貴族,65.14,69.18,-5.837,-8.38,-12.944,9.874,14.438,63.4,60.2,2.78,MILD DIP,11348,4.564,1.2,0.78,1.23,29,35,123.5,47.3,False,False,False,False,False,1.74,False,36.2,-16.2,減益,金融,Insurance Brokers,—,0,26.0,19.5,15.6,13.0,False
KHC,Kraft Heinz,NASDAQ100,21.56,23.11,-6.702,-9.344,-13.865,8.743,13.264,20.9,19.9,2.91,MILD DIP,2674,4.522,7.47,1.61,7.69,0,65,63.0,65.8,True,False,False,False,True,0.61,True,-3.4,-69.2,減益,生活必需品,Packaged Foods,高配当／PBR1倍割れ／半値,3,53.7,40.2,32.2,26.8,False
KMB,Kimberly-Clark,配当貴族,98.85,102.84,-3.884,-6.609,-10.19,7.716,11.298,96.0,92.4,2.92,MILD DIP,11577,3.581,5.23,5.17,5.38,51,47,141.1,30.0,False,False,False,False,False,21.85,False,-0.6,11.0,—,生活必需品,Household & Personal Products,—,0,172.3,129.2,103.4,86.2,False
3402.T,東レ,Nikkei225,1115.0,1194.16,-6.629,-9.447,-14.323,10.057,14.932,1081.3,1023.1,3.11,MILD DIP,6523,4.876,1.84,20.5,1.9,1,25,1340.0,16.8,False,False,False,False,False,0.94,True,0.0,0.0,—,一般消費財,Textile Manufacturing,PBR1倍割れ,1,683.3,512.5,410.0,341.7,False
6594.T,ニデック,Nikkei225,2080.0,2276.36,-8.626,-11.48,-17.462,12.447,18.429,2015.0,1878.9,3.22,MILD DIP,6261,5.982,0.0,0.0,0.0,0,32,7213.1,71.2,True,False,False,False,False,1.36,False,2.9,108.7,微増,資本財,Specialty Industrial Machinery,半値,1,0.0,0.0,0.0,0.0,False
ITW,Illinois Tool Works,配当貴族,261.37,276.1,-5.334,-8.347,-12.828,9.578,14.06,253.1,240.7,3.29,MILD DIP,13349,4.481,2.95,7.72,3.05,60,22,299.6,12.8,False,False,False,False,False,23.39,False,4.1,7.3,微増,資本財,Specialty Industrial Machinery,—,0,257.3,193.0,154.4,128.7,False
XEL,Xcel Energy,NASDAQ100,77.93,80.9,-3.677,-6.775,-10.375,7.626,11.226,75.4,72.5,3.32,MILD DIP,13363,3.6,3.08,2.4,3.18,1,30,83.3,6.4,False,False,False,False,False,2.06,False,14.1,20.8,増収増益,公益,Utilities - Regulated Electric,—,0,80.0,60.0,48.0,40.0,False
ABBV,AbbVie,配当貴族,211.12,221.99,-4.895,-7.957,-12.376,9.718,14.137,204.3,194.5,3.33,MILD DIP,3304,4.419,3.93,8.29,4.06,12,25,240.7,12.3,False,False,False,False,False,-114.12,False,10.0,0.0,—,ヘルスケア,Drug Manufacturers - General,—,0,276.3,207.2,165.8,138.2,False
3407.T,旭化成,Nikkei225,1569.5,1681.48,-6.66,-9.681,-14.701,10.399,15.419,1518.7,1434.3,3.35,MILD DIP,6523,5.02,2.57,40.4,2.66,1,27,1884.5,16.7,False,False,False,False,False,1.06,False,0.8,44.7,微増,資本財,Conglomerates,—,0,1346.7,1010.0,808.0,673.3,False
3116.T,トヨタ紡織,Nikkei225,2586.5,2852.58,-9.328,-12.282,-18.663,13.242,19.623,2502.2,2320.2,3.37,MILD DIP,6261,6.381,0.0,0.0,0.0,0,25,3277.0,21.1,False,False,False,False,False,0.95,True,7.1,-24.2,減益,一般消費財,Auto Parts,PBR1倍割れ,1,0.0,0.0,0.0,0.0,False
5201.T,AGC,Nikkei225,5574.0,6046.92,-7.821,-10.832,-16.374,11.338,16.88,5391.9,5056.8,3.38,MILD DIP,6523,5.542,3.8,211.7,3.93,0,39,6930.0,19.6,False,False,False,False,False,0.8,True,2.5,139.4,微増,資本財,Conglomerates,PBR1倍割れ,1,7056.7,5292.5,4234.0,3528.3,False
7201.T,日産自動車,Nikkei225,348.7,383.26,-9.018,-11.993,-18.059,12.271,18.337,337.3,314.0,3.38,MILD DIP,6523,6.066,0.0,0.0,0.0,0,35,1029.7,66.1,True,False,False,False,False,0.25,True,-5.1,0.0,—,一般消費財,Auto Manufacturers,PBR1倍割れ／半値,2,0.0,0.0,0.0,0.0,False
KO,Coca-Cola,Dow30,74.69,77.48,-3.597,-6.8,-10.496,7.982,11.677,72.2,69.3,3.44,MILD DIP,16142,3.695,2.84,2.12,2.94,61,22,81.0,7.8,False,False,False,False,False,9.99,False,2.4,3.6,微増,生活必需品,Beverages - Non-Alcoholic,—,0,70.7,53.0,42.4,35.3,False
5101.T,横浜ゴム,Nikkei225,6196.0,6720.48,-7.804,-10.974,-16.8,12.326,18.152,5982.9,5591.5,3.56,MILD DIP,6523,5.825,3.29,203.8,3.41,5,42,7982.0,22.4,False,False,False,False,False,0.95,True,14.7,182.9,増収増益,一般消費財,Auto Parts,PBR1倍割れ,1,6793.3,5095.0,4076.0,3396.7,False
7267.T,ホンダ,Nikkei225,1340.0,1433.8,-6.542,-9.773,-14.816,10.4,15.443,1293.7,1221.4,3.58,MILD DIP,6523,5.043,5.38,72.1,5.57,0,45,1771.9,24.4,False,False,False,False,True,0.42,True,-3.4,-41.2,減益,一般消費財,Auto Manufacturers,高配当／PBR1倍割れ,2,2403.3,1802.5,1442.0,1201.7,False
8267.T,イオン,Nikkei225,1915.5,2059.41,-6.988,-10.202,-15.542,11.157,16.496,1849.3,1739.3,3.58,MILD DIP,6523,5.34,0.72,13.7,0.74,2,25,2868.7,33.2,False,False,False,False,False,4.58,False,0.0,0.0,—,一般消費財,Department Stores,—,0,456.7,342.5,274.0,228.3,False
GPC,Genuine Parts,配当貴族,105.28,109.56,-3.903,-7.278,-11.172,8.296,12.19,101.6,97.3,3.64,MILD DIP,11577,3.894,4.05,4.26,4.19,67,30,170.3,38.2,False,False,False,False,False,3.28,False,4.1,0.0,—,一般消費財,Auto Parts,—,0,142.0,106.5,85.2,71.0,False
7211.T,三菱自動車,Nikkei225,334.4,379.1,-11.792,-15.013,-22.387,14.48,21.854,322.2,294.2,3.79,MILD DIP,6523,7.373,2.99,10.0,3.1,0,40,3981.9,91.6,True,False,False,False,False,0.5,True,4.9,0.0,—,一般消費財,Auto Manufacturers,PBR1倍割れ／半値,2,333.3,250.0,200.0,166.7,False
7269.T,スズキ,Nikkei225,1933.0,2083.32,-7.215,-10.627,-16.15,11.463,16.986,1861.9,1746.9,3.82,MILD DIP,6523,5.523,2.41,46.6,2.5,3,30,2451.5,21.2,False,False,False,False,False,1.13,False,15.7,20.5,増収増益,一般消費財,Auto Manufacturers,—,0,1553.3,1165.0,932.0,776.7,False
6473.T,ジェイテクト,Nikkei225,1684.0,1864.18,-9.665,-13.002,-19.669,13.664,20.33,1621.8,1497.5,3.84,MILD DIP,6523,6.666,3.56,60.0,3.7,4,39,2149.0,21.6,False,False,False,False,False,0.69,True,1.4,166.4,微増,一般消費財,Auto Parts,PBR1倍割れ,1,2000.0,1500.0,1200.0,1000.0,False
4631.T,DIC,Nikkei225,3766.0,4078.8,-7.669,-11.088,-16.75,11.561,17.223,3626.5,3395.6,3.85,MILD DIP,6264,5.662,0.0,0.0,0.0,2,25,4624.0,18.6,False,False,False,False,False,0.76,True,1.1,-0.6,減益,素材,Specialty Chemicals,PBR1倍割れ,1,0.0,0.0,0.0,0.0,False
6326.T,クボタ,Nikkei225,2583.0,2793.94,-7.55,-11.016,-16.782,12.049,17.815,2486.2,2325.1,3.89,MILD DIP,6523,5.766,2.11,54.4,2.19,0,30,3242.0,20.3,False,False,False,False,False,1.12,False,10.3,41.0,増収増益,資本財,Farm & Heavy Construction Machinery,—,0,1813.3,1360.0,1088.0,906.7,False
6645.T,オムロン,Nikkei225,4469.0,4836.16,-7.592,-11.071,-16.746,11.629,17.304,4300.7,4026.3,3.91,MILD DIP,6261,5.675,2.33,104.1,2.42,0,35,11189.8,60.1,True,False,False,False,False,1.09,False,7.7,-49.6,減益,テクノロジー,Electronic Components,半値,1,3470.0,2602.5,2082.0,1735.0,False
1801.T,大成建設,Nikkei225,16650.0,17899.8,-6.982,-10.532,-16.149,11.935,17.552,16014.6,15009.2,3.97,MILD DIP,6523,5.617,1.6,266.8,1.67,1,20,20390.0,18.3,False,False,False,False,False,3.15,False,-9.6,11.3,—,資本財,Engineering & Construction,—,0,8893.3,6670.0,5336.0,4446.7,False
D,Dominion Energy,SP500高配当,60.9,62.39,-2.388,-6.136,-9.477,7.226,10.567,58.6,56.5,3.99,MILD DIP,11577,3.341,4.4,2.68,4.58,0,30,73.3,16.9,False,False,False,False,False,1.91,False,20.4,365.5,増収増益,公益,Utilities - Regulated Electric,—,0,89.3,67.0,53.6,44.7,False
PNR,Pentair,配当貴族,85.93,93.14,-7.746,-11.302,-17.231,12.414,18.344,82.6,77.1,4.01,MILD DIP,13313,5.929,1.48,1.27,1.54,6,22,112.1,23.3,False,False,False,False,False,3.63,False,4.9,1.6,微増,資本財,Specialty Industrial Machinery,—,0,42.3,31.8,25.4,21.2,False
5332.T,TOTO,Nikkei225,5429.0,5841.8,-7.066,-10.706,-16.276,11.572,17.141,5216.4,4891.0,4.08,MILD DIP,6523,5.569,1.84,100.1,1.92,0,20,6532.0,16.9,False,False,False,False,False,1.77,False,0.0,0.0,—,資本財,Building Products & Equipment,—,0,3336.7,2502.5,2002.0,1668.3,False
HRL,Hormel Foods,配当貴族,22.85,23.74,-3.755,-7.587,-11.677,8.773,12.863,21.9,21.0,4.15,MILD DIP,11577,4.09,5.12,1.17,5.33,57,44,48.2,52.6,True,False,False,False,False,1.58,False,1.3,6.5,微増,生活必需品,Packaged Foods,半値,1,39.0,29.2,23.4,19.5,False
CHRW,C.H. Robinson,配当貴族,167.66,176.93,-5.239,-9.013,-13.875,10.434,15.295,161.0,152.4,4.15,MILD DIP,7130,4.862,1.86,3.12,1.94,14,20,199.9,16.1,False,False,False,False,False,10.76,False,-6.5,-8.5,減収減益,資本財,Integrated Freight & Logistics,—,0,104.0,78.0,62.4,52.0,False
AOS,A.O. Smith,配当貴族,65.61,70.51,-6.951,-10.72,-16.413,12.056,17.749,63.0,58.9,4.22,MILD DIP,10681,5.694,2.65,1.74,2.76,30,20,88.9,26.2,False,False,False,False,False,4.89,False,0.0,19.1,—,資本財,Specialty Industrial Machinery,—,0,58.0,43.5,34.8,29.0,False
3861.T,王子HD,Nikkei225,871.2,923.81,-5.695,-9.526,-14.4,9.969,14.843,835.8,790.8,4.23,MILD DIP,6523,4.874,4.13,36.0,4.31,4,45,987.9,11.8,False,False,False,False,True,0.75,True,3.7,-17.1,減益,素材,Paper & Paper Products,高配当／PBR1倍割れ,2,1200.0,900.0,720.0,600.0,False
4188.T,三菱ケミカルG,Nikkei225,942.2,1008.38,-6.563,-10.383,-15.669,10.759,16.045,903.7,850.4,4.26,MILD DIP,6523,5.286,3.42,32.2,3.56,0,37,1160.5,18.8,False,False,False,False,False,0.69,True,-13.9,0.0,—,素材,Specialty Chemicals,PBR1倍割れ,1,1073.3,805.0,644.0,536.7,False
6841.T,横河電機,Nikkei225,5067.0,5538.52,-8.513,-12.248,-18.617,13.231,19.601,4860.2,4507.4,4.26,MILD DIP,6523,6.37,1.43,72.7,1.5,2,25,6245.0,18.9,False,False,False,False,False,2.55,False,7.0,11.8,増収増益,資本財,Specialty Industrial Machinery,—,0,2423.3,1817.5,1454.0,1211.7,False
HD,Home Depot,Dow30,328.43,351.74,-6.626,-10.461,-16.258,12.727,18.524,314.9,294.6,4.28,MILD DIP,11194,5.797,2.86,9.39,2.98,16,20,418.1,21.4,False,False,False,False,False,25.53,False,-3.8,-14.2,減益,一般消費財,Home Improvement Retail,—,0,313.0,234.8,187.8,156.5,False
SHW,Sherwin-Williams,Dow30,319.55,333.83,-4.277,-8.234,-12.776,9.932,14.474,306.3,291.2,4.31,MILD DIP,11577,4.542,1.04,3.33,1.09,45,22,395.3,19.2,False,False,False,False,False,17.11,False,5.6,1.4,微増,素材,Specialty Chemicals,—,0,111.0,83.2,66.6,55.5,False
6301.T,小松製作所,Nikkei225,6465.0,6996.44,-7.596,-11.454,-17.518,12.803,18.867,6195.1,5770.8,4.36,MILD DIP,6523,6.064,2.97,192.2,3.1,5,25,7799.0,17.1,False,False,False,False,False,1.71,False,3.5,-11.5,減益,資本財,Farm & Heavy Construction Machinery,—,0,6406.7,4805.0,3844.0,3203.3,False
