ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,div_consec_years,buy_score,ath,drop_from_ath,half_from_ath,cross_above_25ma,monthly_bullish,method12,flag_high_div,pbr,pbr_under1,rev_growth_pct,earn_growth_pct,biz_momentum,rsi_14,rsi_oversold,week52_pos,per,roe,equity_ratio,is_quality,sector,industry,signals,n_signals,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct,sector_sole_dip
GPC,Genuine Parts,配当貴族,103.47,107.25,-3.522,-7.28,-11.173,8.294,12.188,99.4,95.3,4.05,MILD DIP,11582,3.894,4.12,4.26,4.28,67,30,170.3,39.2,False,False,False,False,False,3.22,False,4.1,0.0,—,45.0,False,13.3,12.1,1.5,39.1,False,一般消費財,Auto Parts,—,0,142.0,106.5,85.2,71.0,False
9022.T,東海旅客鉄道,Nikkei225,4080.0,4265.62,-4.352,-8.133,-12.347,8.723,12.937,3918.7,3738.9,4.12,MILD DIP,6267,4.214,0.81,33.0,0.84,3,35,4949.0,17.6,False,False,False,False,False,0.79,True,7.6,14.9,増収増益,42.4,False,64.5,9.6,11.4,51.1,True,資本財,Railroads,PBR1倍割れ／優良財務,2,1100.0,825.0,660.0,550.0,False
SWK,Stanley Black & Decker,配当貴族,68.64,72.95,-5.913,-9.945,-15.148,10.865,16.068,65.7,61.9,4.48,MILD DIP,11582,5.203,4.87,3.34,5.08,56,42,185.8,63.1,True,False,False,False,False,1.18,False,-1.0,-19.3,減益,46.2,False,37.3,10.8,4.5,58.8,False,資本財,Tools & Accessories,半値,1,111.3,83.5,66.8,55.7,False
7267.T,ホンダ,Nikkei225,1262.0,1336.39,-5.567,-9.784,-14.83,10.398,15.444,1205.6,1138.2,4.67,MILD DIP,6529,5.046,5.71,72.1,5.98,0,45,1725.7,26.9,False,False,False,False,True,0.39,True,-3.4,-41.2,減益,39.2,False,18.5,5.5,4.3,48.5,False,一般消費財,Auto Manufacturers,高配当／PBR1倍割れ,2,2403.3,1802.5,1442.0,1201.7,False
7211.T,三菱自動車,Nikkei225,309.0,346.75,-10.888,-15.041,-22.422,14.484,21.865,294.6,269.0,4.89,MILD DIP,6529,7.381,3.24,10.0,3.39,0,52,3922.3,92.1,True,False,False,False,False,0.46,True,4.9,0.0,—,25.2,True,3.9,3.4,1.1,69.0,False,一般消費財,Auto Manufacturers,PBR1倍割れ／RSI30以下／半値,3,333.3,250.0,200.0,166.7,False
ADP,ADP,NASDAQ100,204.01,209.85,-2.781,-7.324,-11.326,8.682,12.684,194.5,186.1,4.9,MILD DIP,11582,4.002,3.2,6.52,3.35,48,45,318.8,36.0,False,False,True,False,False,12.86,False,6.2,11.5,増収増益,43.0,False,5.2,17.0,73.8,58.8,True,テクノロジー,Software - Application,優良財務／月足陽転,2,217.3,163.0,130.4,108.7,False
ES,Eversource Energy,SP500高配当,69.47,71.31,-2.58,-7.213,-10.99,7.896,11.674,66.2,63.5,4.99,MILD DIP,13368,3.777,4.58,3.18,4.81,26,37,80.2,13.4,False,False,False,False,False,1.61,False,13.4,466.2,増収増益,35.3,False,71.2,13.6,10.8,35.1,False,公益,Utilities - Regulated Electric,—,0,106.0,79.5,63.6,53.0,False
ECL,Ecolab,配当貴族,264.28,274.55,-3.74,-8.332,-12.758,9.372,13.798,251.7,239.5,5.01,MILD DIP,13368,4.426,1.29,3.41,1.35,30,17,307.5,14.1,False,False,False,False,False,11.27,False,4.8,20.2,微増,40.8,False,48.7,27.3,22.5,52.1,True,素材,Specialty Chemicals,優良財務,1,113.7,85.2,68.2,56.8,False
CEG,Constellation Energy,NASDAQ100,272.82,305.64,-10.739,-15.011,-23.7,19.749,28.439,259.8,233.2,5.03,MILD DIP,1031,8.69,0.62,1.69,0.65,3,20,402.9,32.3,False,False,False,False,False,5.87,False,12.9,-48.9,減益,37.5,False,44.3,19.6,16.4,61.0,True,公益,Utilities - Independent Power Producers,優良財務,1,56.3,42.2,33.8,28.2,False
VZ,Verizon,SP500高配当,49.4,50.44,-2.068,-6.777,-10.402,7.723,11.348,47.0,45.2,5.05,MILD DIP,10650,3.625,5.67,2.8,5.95,21,22,51.4,3.9,False,False,False,False,False,1.99,False,2.0,-53.3,減益,32.3,False,82.8,9.4,17.1,36.4,False,通信,Telecom Services,—,0,93.3,70.0,56.0,46.7,False
SMCI,Super Micro Computer,NASDAQ100,23.22,27.8,-16.469,-20.511,-31.304,22.661,33.454,22.1,19.1,5.09,MILD DIP,4760,10.793,0.0,0.0,0.0,0,30,118.8,80.5,True,False,False,False,False,1.99,False,123.4,19.2,増収増益,33.3,False,8.7,7.7,13.2,57.1,True,テクノロジー,Computer Hardware,優良財務／半値,2,0.0,0.0,0.0,0.0,False
V,Visa,Dow30,300.8,308.25,-2.417,-7.167,-11.172,8.854,12.859,286.2,273.8,5.12,MILD DIP,4515,4.005,0.91,2.73,0.95,17,20,371.2,19.0,False,False,False,False,False,15.01,False,14.6,17.4,増収増益,42.9,False,8.5,20.7,54.0,64.7,True,金融,Credit Services,優良財務,1,91.0,68.2,54.6,45.5,False
3116.T,トヨタ紡織,Nikkei225,2430.0,2635.77,-7.807,-12.302,-18.687,13.242,19.628,2311.5,2143.2,5.13,MILD DIP,6267,6.386,0.0,0.0,0.0,0,15,3222.5,24.6,False,False,False,False,False,0.89,True,7.1,-24.2,減益,34.2,False,47.6,8.8,4.7,73.0,False,一般消費財,Auto Parts,PBR1倍割れ,1,0.0,0.0,0.0,0.0,False
ITW,Illinois Tool Works,配当貴族,258.21,267.86,-3.603,-8.349,-12.831,9.577,14.059,245.5,233.5,5.18,MILD DIP,13354,4.482,3.03,7.83,3.19,60,17,297.7,13.3,False,False,False,False,False,23.11,False,4.1,7.3,微増,41.1,False,49.2,21.3,93.7,25.9,False,資本財,Specialty Industrial Machinery,—,0,261.0,195.8,156.6,130.5,False
HD,Home Depot,Dow30,321.63,341.47,-5.811,-10.465,-16.263,12.725,18.523,305.7,285.9,5.2,MILD DIP,11199,5.798,2.92,9.39,3.07,16,10,418.1,23.1,False,False,False,False,False,25.0,False,-3.8,-14.2,減益,36.4,False,2.7,19.7,145.5,16.3,False,一般消費財,Home Improvement Retail,—,0,313.0,234.8,187.8,156.5,False
9020.T,東日本旅客鉄道,Nikkei225,3576.0,3666.86,-2.478,-7.304,-11.075,7.781,11.553,3399.1,3260.8,5.21,MILD DIP,6529,3.771,1.96,70.1,2.06,3,10,4160.0,14.0,False,False,False,False,False,1.34,False,6.3,-5.8,減益,39.7,False,53.5,17.3,7.7,38.7,False,資本財,Railroads,—,0,2336.7,1752.5,1402.0,1168.3,False
4452.T,花王,Nikkei225,6056.0,6202.08,-2.355,-7.252,-11.006,7.764,11.517,5752.3,5519.5,5.28,MILD DIP,6529,3.754,2.58,156.4,2.72,36,20,8014.7,24.4,False,False,False,False,False,2.57,False,4.1,-1.5,減益,45.4,False,23.7,23.4,11.0,81.8,True,生活必需品,Household & Personal Products,優良財務,1,5213.3,3910.0,3128.0,2606.7,False
